team,abbreviation,league,city,state,color1,color2,logo
Arizona Cardinals,ARI,NFL,Phoenix,AZ,#97233F,#FFB612,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/ari.png
Atlanta Falcons,ATL,NFL,Atlanta,GA,#A71930,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/atl.png
Baltimore Ravens,BAL,NFL,Baltimore,MD,#241773,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/bal.png
Buffalo Bills,BUF,NFL,Buffalo,NY,#00338D,#C60C30,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/buf.png
Carolina Panthers,CAR,NFL,Charlotte,NC,#0085CA,#101820,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/car.png
Chicago Bears,CHI,NFL,Chicago,IL,#0B162A,#C83803,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/chi.png
Cincinnati Bengals,CIN,NFL,Cincinnati,OH,#FB4F14,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/cin.png
Cleveland Browns,CLE,NFL,Cleveland,OH,#311D00,#FF3C00,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/cle.png
Dallas Cowboys,DAL,NFL,Dallas,TX,#003594,#7F9695,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/dal.png
Denver Broncos,DEN,NFL,Denver,CO,#FB4F14,#002244,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/den.png
Detroit Lions,DET,NFL,Detroit,MI,#0076B6,#B0B7BC,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/det.png
Green Bay Packers,GB,NFL,Green Bay,WI,#203731,#FFB612,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/gb.png
Houston Texans,HOU,NFL,Houston,TX,#03202F,#A71930,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/hou.png
Indianapolis Colts,IND,NFL,Indianapolis,IN,#002C5F,#A2AAAD,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/ind.png
Jacksonville Jaguars,JAX,NFL,Jacksonville,FL,#006778,#D7A22A,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/jax.png
Kansas City Chiefs,KC,NFL,Kansas City,MO,#E31837,#FFB81C,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/kc.png
LA Chargers,LAC,NFL,Los Angeles,CA,#002A5E,#FFC20E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/lac.png
LA Rams,LAR,NFL,Los Angeles,CA,#002244,#866D4B,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/lar.png
Miami Dolphins,MIA,NFL,Miami,FL,#008E97,#F26A24,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/mia.png
Minnesota Vikings,MIN,NFL,Minneapolis,MN,#4F2683,#FFC62F,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/min.png
New England Patriots,NE,NFL,Boston,MA,#002244,#C60C30,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/ne.png
New Orleans Saints,NO,NFL,New Orleans,LA,#D3BC8D,#101820,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/no.png
NY Giants,NYG,NFL,New York,NY,#A71930,#0B2265,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/nyg.png
NY Jets,NYJ,NFL,New York,NY,#125740,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/nyj.png
Oakland Raiders,OAK,NFL,Oakland,CA,#000000,#A5ACAF,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/oak.png
Philadelphia Eagles,PHI,NFL,Philadelphia,PA,#004C54,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/phi.png
Pittsburgh Steelers,PIT,NFL,Pittsburgh,PA,#FFB612,#101820,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/pit.png
San Francisco 49ers,SF,NFL,San Francisco,CA,#AA0000,#B3995D,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/sf.png
Seattle Seahawks,SEA,NFL,Seattle,WA,#002244,#A5ACAF,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/sea.png
Tampa Bay Buccaneers,TB,NFL,Tampa,FL,#D50A0A,#FF7900,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/tb.png
Tennessee Titans,TEN,NFL,Nashville,TN,#0C2340,#418FDE,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/ten.png
Washington Redskins,WAS,NFL,Washington,DC,#773141,#FFB612,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NFL/was.png
Anaheim Ducks,ANA,NHL,Anaheim,CA,#B09862,#F47A38,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/ana.png
Boston Bruins,BOS,NHL,Boston,MA,#FFB81C,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/bos.png
Buffalo Sabres,BUF,NHL,Buffalo,NY,#002654,#FCB514,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/buf.png
Calgary Flames,CGY,NHL,Calgary,AB,#C8102E,#111111,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/cgy.png
Carolina Hurricanes,CAR,NHL,Raleigh,NC,#CC0000,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/car.png
Chicago Blackhawks,CHI,NHL,Chicago,IL,#CF0A2C,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/chi.png
Colorado Avalanche,COL,NHL,Denver,CO,#6F263D,#236192,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/col.png
Columbus Blue Jackets,CBJ,NHL,Columbus,OH,#002654,#CE1126,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/cbj.png
Dallas Stars,DAL,NHL,Dallas,TX,#006847,#8F8F8C,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/dal.png
Detroit Red Wings,DET,NHL,Detroit,MI,#CE1126,#FFFFFF,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/det.png
Edmonton Oilers,EDM,NHL,Edmonton,AB,#041E42,#FF4C00,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/edm.png
